Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units
NSRDB,1196743,-,-,-,10.41,-75.5,-5,10,-5,w/m2,w/m2,w/m2,c
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,Category
2017,1,1,0,30,0,0,25,0.117,7.5,95.46,26,1010,Baja
2017,1,1,1,30,0,0,25,0.117,7.2,95.3,26,1010,Baja
2017,1,1,2,30,0,0,25,0.117,6.9,100,26,1010,Baja
2017,1,1,3,30,0,0,25,0.117,6.6,100,26,1010,Baja
2017,1,1,4,30,0,0,25,0.117,6.3,100,26,1010,Baja
2017,1,1,5,30,0,0,24,0.117,6.1,99.96,26,1010,Baja
2017,1,1,6,30,12,27,24,0.117,6.1,94.19,26,1010,Baja
2017,1,1,7,30,72,496,25,0.117,5.8,94.37,27,1010,Media
2017,1,1,8,30,98,706,24,0.117,5,87.71,27,1010,MediaA
2017,1,1,9,30,112,808,24,0.117,4.1,81.14,28,1010,Alta
2017,1,1,10,30,118,866,24,0.117,3.4,76.87,29,1010,Alta
2017,1,1,11,30,124,884,24,0.117,3.3,75.61,30,1010,Alta
2017,1,1,12,30,128,880,24,0.117,3.6,71.71,30,1010,Alta
2017,1,1,13,30,148,819,24,0.117,4.1,76.75,30,1010,Alta
2017,1,1,14,30,143,759,24,0.117,4.8,77.21,29,1010,MediaA
2017,1,1,15,30,128,654,24,0.117,5.6,82.15,29,1010,MediaA
2017,1,1,16,30,96,464,24,0.117,6.5,87,28,1010,Media
2017,1,1,17,30,29,76,24,0.117,7.1,87.37,27,1010,Baja
2017,1,1,18,30,0,0,24,0.117,7.4,93.48,27,1010,Baja
2017,1,1,19,30,0,0,24,0.117,7.4,93.2,27,1010,Baja
2017,1,1,20,30,0,0,24,0.117,7.3,92.95,26,1010,Baja
2017,1,1,21,30,0,0,24,0.117,7.3,92.71,26,1010,Baja
2017,1,1,22,30,0,0,24,0.117,7.4,92.41,26,1010,Baja
2017,1,1,23,30,0,0,24,0.117,7.3,92.22,26,1010,Baja
2017,1,2,0,30,0,0,24,0.117,7.2,97.11,26,1010,Baja
2017,1,2,1,30,0,0,24,0.117,6.8,96.92,25,1010,Baja
2017,1,2,2,30,0,0,24,0.117,6.4,96.89,25,1010,Baja
2017,1,2,3,30,0,0,24,0.117,6,96.76,25,1010,Baja
2017,1,2,4,30,0,0,24,0.117,5.6,96.53,25,1010,Baja
2017,1,2,5,30,0,0,24,0.117,5.2,96.24,25,1010,Baja
