Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units
NSRDB,1196743,-,-,-,10.41,-75.5,-5,10,-5,w/m2,w/m2,w/m2,c
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,Category
2016,1,1,0,30,0,0,25,0.116,5.5,88.99,27,1000,Baja
2016,1,1,1,30,0,0,25,0.116,5,88.96,27,1000,Baja
2016,1,1,2,30,0,0,24,0.116,4.6,94.21,27,1000,Baja
2016,1,1,3,30,0,0,24,0.116,4.5,94.01,27,1000,Baja
2016,1,1,4,30,0,0,24,0.116,4.4,93.99,27,1000,Baja
2016,1,1,5,30,0,0,25,0.116,4.2,94.26,27,1000,Baja
2016,1,1,6,30,10,0,25,0.116,4.2,94.62,27,1010,Baja
2016,1,1,7,30,96,350,24,0.116,4.2,87.78,27,1010,BajaM
2016,1,1,8,30,142,563,23,0.116,3.8,78.86,28,1010,Media
2016,1,1,9,30,285,318,23,0.116,2.9,72.11,29,1010,BajaM
2016,1,1,10,30,373,260,23,0.116,2,68.36,30,1010,BajaM
2016,1,1,11,30,180,783,23,0.116,1.6,67.51,31,1010,MediaA
2016,1,1,12,30,429,154,22,0.116,1.9,62.14,31,1000,Baja
2016,1,1,13,30,371,321,23,0.116,2.5,62.5,31,1000,BajaM
2016,1,1,14,30,309,83,23,0.116,3.2,68.04,30,1000,Baja
2016,1,1,15,30,61,0,23,0.116,4,69.69,30,1000,Baja
2016,1,1,16,30,30,0,24,0.116,5,74.91,29,1000,Baja
2016,1,1,17,30,3,0,24,0.116,5.9,80.25,28,1000,Baja
2016,1,1,18,30,0,0,24,0.116,6.4,86.47,28,1000,Baja
2016,1,1,19,30,0,0,24,0.117,6.6,87.62,27,1010,Baja
2016,1,1,20,30,0,0,24,0.117,6.6,88.4,27,1010,Baja
2016,1,1,21,30,0,0,25,0.117,6.7,88.84,27,1010,Baja
2016,1,1,22,30,0,0,25,0.117,6.7,89.06,27,1010,Baja
2016,1,1,23,30,0,0,25,0.117,6.3,89.29,27,1010,Baja
2016,1,2,0,30,0,0,25,0.117,5.8,94.7,27,1000,Baja
2016,1,2,1,30,0,0,25,0.117,5.4,94.73,27,1000,Baja
2016,1,2,2,30,0,0,25,0.117,5.1,94.99,26,1000,Baja
2016,1,2,3,30,0,0,25,0.117,4.8,95.29,26,1000,Baja
2016,1,2,4,30,0,0,25,0.117,4.4,95.62,26,1000,Baja
2016,1,2,5,30,0,0,25,0.117,4.1,95.94,26,1010,Baja
