Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units
NSRDB,1196743,-,-,-,10.41,-75.5,-5,10,-5,w/m2,w/m2,w/m2,c
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,Category
2018,1,1,0,30,0,0,24.8,0.1,7,89.61,26.6,1014,Baja
2018,1,1,1,30,0,0,24.8,0.1,6.9,89.66,26.6,1014,Baja
2018,1,1,2,30,0,0,24.7,0.1,6.8,89.59,26.6,1013,Baja
2018,1,1,3,30,0,0,24.8,0.1,6.6,89.72,26.6,1013,Baja
2018,1,1,4,30,0,0,24.8,0.1,6.4,90.06,26.6,1014,Baja
2018,1,1,5,30,0,0,24.9,0.1,6.1,90.47,26.6,1015,Baja
2018,1,1,6,30,14,11,25,0.1,6,89.81,26.8,1015,Baja
2018,1,1,7,30,105,287,25.1,0.1,6,88.16,27.2,1016,BajaM
2018,1,1,8,30,151,520,25,0.1,5.7,85.51,27.7,1016,Media
2018,1,1,9,30,156,697,25,0.1,5.2,83.16,28.1,1016,MediaA
2018,1,1,10,30,140,810,24.9,0.1,4.4,81.19,28.4,1016,Alta
2018,1,1,11,30,170,773,24.7,0.1,3.6,79.39,28.6,1015,MediaA
2018,1,1,12,30,220,661,24.5,0.1,2.8,77.91,28.7,1014,MediaA
2018,1,1,13,30,266,329,24.3,0.1,2.5,77.69,28.6,1013,BajaM
2018,1,1,14,30,144,744,24.3,0.1,2.6,78.21,28.5,1013,MediaA
2018,1,1,15,30,155,533,24.4,0.1,2.9,79.6,28.3,1012,Media
2018,1,1,16,30,64,150,24.7,0.1,3.3,82.09,28,1012,Baja
2018,1,1,17,30,9,1,25.1,0.1,3.6,86.3,27.6,1013,Baja
2018,1,1,18,30,0,0,25.4,0.1,3.8,88.29,27.5,1013,Baja
2018,1,1,19,30,0,0,25.5,0.1,4.3,90.39,27.2,1014,Baja
2018,1,1,20,30,0,0,25.6,0.1,4.7,91.33,27.1,1015,Baja
2018,1,1,21,30,0,0,25.6,0.1,5.1,92.07,27,1014,Baja
2018,1,1,22,30,0,0,25.6,0.1,5.4,92.65,26.9,1014,Baja
2018,1,1,23,30,0,0,25.5,0.1,5.8,92.71,26.8,1014,Baja
2018,1,2,0,30,0,0,25.4,0.1,6.2,93.19,26.6,1013,Baja
2018,1,2,1,30,0,0,25.3,0.1,6.5,93.01,26.5,1012,Baja
2018,1,2,2,30,0,0,25.2,0.1,6.6,92.92,26.4,1012,Baja
