Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units
NSRDB,1196743,-,-,-,10.41,-75.5,-5,10,-5,w/m2,w/m2,w/m2,c
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,Category
2019,1,1,0,30,0,0,23.5,0.17,7.8,88.02,25.6,1008,Baja
2019,1,1,1,30,0,0,23.4,0.17,7.3,88.74,25.4,1008,Baja
2019,1,1,2,30,0,0,23.3,0.17,6.7,89.24,25.2,1008,Baja
2019,1,1,3,30,0,0,23.2,0.17,6.1,89.22,25.1,1008,Baja
2019,1,1,4,30,0,0,23.1,0.17,5.8,89.36,25,1009,Baja
2019,1,1,5,30,0,0,23.1,0.17,5.6,89.17,25,1010,Baja
2019,1,1,6,30,16,74,23.1,0.17,5.8,86.24,25.6,1010,Baja
2019,1,1,7,30,70,538,23,0.17,5.9,80.65,26.6,1011,Media
2019,1,1,8,30,94,740,22.6,0.17,5.6,73.12,27.9,1011,MediaA
2019,1,1,9,30,106,839,21.9,0.17,5.1,65.06,29.1,1011,Alta
2019,1,1,10,30,112,893,21.8,0.17,4.3,61.49,30,1010,Alta
2019,1,1,11,30,119,911,22,0.17,3.9,60.34,30.6,1009,Alta
2019,1,1,12,30,121,910,22,0.17,4.1,59.12,30.9,1008,Alta
2019,1,1,13,30,119,889,22.1,0.17,4.7,59.54,30.9,1007,Alta
2019,1,1,14,30,115,836,22.1,0.17,5.6,60.69,30.6,1007,Alta
2019,1,1,15,30,106,736,22.1,0.17,6.7,63.51,29.8,1007,MediaA
2019,1,1,16,30,85,541,22.3,0.17,7.6,69.14,28.5,1007,Media
2019,1,1,17,30,32,125,22.7,0.17,7.9,76.19,27.3,1008,Baja
2019,1,1,18,30,0,0,23.1,0.17,8,80.02,26.8,1008,Baja
2019,1,1,19,30,0,0,23.2,0.17,7.9,81.5,26.6,1009,Baja
2019,1,1,20,30,0,0,23.3,0.17,7.7,83.02,26.4,1009,Baja
2019,1,1,21,30,0,0,23.3,0.17,7.6,83.74,26.3,1009,Baja
2019,1,1,22,30,0,0,23.3,0.17,7.6,84.58,26.1,1009,Baja
2019,1,1,23,30,0,0,23.2,0.17,7.7,85.72,25.8,1009,Baja
2019,1,2,0,30,0,0,23.1,0.17,7.8,86.3,25.6,1008,Baja
2019,1,2,1,30,0,0,23.1,0.17,8,87.02,25.4,1008,Baja
2019,1,2,2,30,0,0,23,0.17,8.1,87.31,25.3,1008,Baja
