Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units
NSRDB,1196743,-,-,-,10.41,-75.5,-5,10,-5,w/m2,w/m2,w/m2,c
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,Category
2020,1,1,0,30,0,0,25.2,0.17,7.2,89.08,27.2,1012,Baja
2020,1,1,1,30,0,0,25.2,0.17,7.5,89.57,27.1,1011,Baja
2020,1,1,2,30,0,0,25.2,0.17,7.7,89.66,27,1011,Baja
2020,1,1,3,30,0,0,25,0.17,7.7,88.75,27,1010,Baja
2020,1,1,4,30,0,0,24.8,0.17,7.5,88.46,26.9,1011,Baja
2020,1,1,5,30,0,0,24.7,0.17,7.3,87.81,26.9,1011,Baja
2020,1,1,6,30,11,3,24.6,0.17,7.2,85.96,27.2,1012,Baja
2020,1,1,7,30,97,237,24.5,0.17,7.1,82.26,27.8,1013,BajaM
2020,1,1,8,30,162,453,24.2,0.17,6.7,76.64,28.7,1013,Media
2020,1,1,9,30,190,612,23.9,0.17,5.8,71.31,29.6,1013,MediaA
2020,1,1,10,30,181,740,23.5,0.17,4.6,66.75,30.4,1013,MediaA
2020,1,1,11,30,300,559,23.5,0.17,3.6,64.92,30.9,1012,Media
2020,1,1,12,30,183,783,23.7,0.17,3.2,64.98,31.1,1011,MediaA
2020,1,1,13,30,236,647,23.7,0.17,3.4,65.15,31,1010,MediaA
2020,1,1,14,30,214,576,23.6,0.17,3.9,65.39,30.8,1009,Media
2020,1,1,15,30,219,123,23.4,0.17,4.5,66.66,30.3,1009,Baja
2020,1,1,16,30,97,339,23.3,0.17,5.2,68.99,29.6,1010,BajaM
2020,1,1,17,30,27,37,23.4,0.17,5.8,73.3,28.7,1010,Baja
2020,1,1,18,30,0,0,23.9,0.17,6,76.54,28.4,1011,Baja
2020,1,1,19,30,0,0,24.1,0.17,6.5,80.23,27.8,1012,Baja
2020,1,1,20,30,0,0,24.3,0.17,6.7,82.25,27.6,1013,Baja
2020,1,1,21,30,0,0,24.5,0.17,6.7,84.47,27.4,1013,Baja
2020,1,1,22,30,0,0,24.8,0.17,6.9,86.06,27.3,1012,Baja
2020,1,1,23,30,0,0,25,0.17,7.1,87.06,27.3,1012,Baja
2020,1,2,0,30,0,0,25.1,0.17,7.4,88.1,27.2,1011,Baja
2020,1,2,1,30,0,0,25,0.17,7.6,88.36,27.1,1010,Baja
2020,1,2,2,30,0,0,24.9,0.17,7.7,88.77,26.9,1010,Baja
